 51     195    100        25489581.72    64.8    0
 52     150    100        25489581.72    64.8    0
 53     105    100        25489581.72    64.8    0
 54      60    100        25489581.72    64.8    0
 55      15    100        25489581.72    64.8    0
 56     330    100        25489581.72    64.8    0
 57     285    100        25489581.72    64.8    0
 58     240    100        25489581.72    64.8    0
 59     203    220        25489581.72    64.8    0
 60     158    220        25489581.72    64.8    0
 61     113    220        25489581.72    64.8    0
 62      68    220        25489581.72    64.8    0
 63      23    220        25489581.72    64.8    0
 64     338    220        25489581.72    64.8    0
 65     293    220        25489581.72    64.8    0
 66     248    220        25489581.72    64.8    0
 67     218    340        25489581.72    64.8    0
 68     173    340        25489581.72    64.8    0
 69     128    340        25489581.72    64.8    0
 70      83    340        25489581.72    64.8    0
 71      38    340        25489581.72    64.8    0
 72     353    340        25489581.72    64.8    0
 73     308    340        25489581.72    64.8    0
 74     263    340        25489581.72    64.8    0

